Código Dane_Municipio,Tipo_división_geográfica,Código,Grupo_Edad,Total_2018,Hombres_2018,Mujeres_2018
5001,Comuna,Popular,Total,131968,62502,69466
5001,Comuna,Popular, 0-4,11684,5970,5714
5001,Comuna,Popular, 5-9,11624,5894,5730
5001,Comuna,Popular, 10-14,11139,5636,5503
5001,Comuna,Popular, 15-19,10888,5481,5407
5001,Comuna,Popular, 20-24,10658,5218,5440
5001,Comuna,Popular, 25-29,10816,5237,5579
5001,Comuna,Popular, 30-34,10398,4827,5571
5001,Comuna,Popular, 35-39,9058,4029,5029
5001,Comuna,Popular, 40-44,8030,3558,4472
5001,Comuna,Popular, 45-49,7948,3566,4382
5001,Comuna,Popular, 50-54,8426,3829,4597
5001,Comuna,Popular, 55-59,7062,3174,3888
5001,Comuna,Popular, 60-64,5105,2262,2843
5001,Comuna,Popular, 65-69,3551,1556,1995
5001,Comuna,Popular, 70-74,2365,1007,1358
5001,Comuna,Popular, 75-79,1556,633,923
5001,Comuna,Popular, 80 Y MÁS,1660,625,1035
5001,Comuna,Santa Cruz, Total,113024,53290,59734
5001,Comuna,Santa Cruz, 0-4,8668,4437,4231
5001,Comuna,Santa Cruz, 5-9,8665,4414,4251
5001,Comuna,Santa Cruz, 10-14,8530,4366,4164
5001,Comuna,Santa Cruz, 15-19,8788,4512,4276
5001,Comuna,Santa Cruz, 20-24,9040,4554,4486
5001,Comuna,Santa Cruz, 25-29,9682,4855,4827
5001,Comuna,Santa Cruz, 30-34,9317,4477,4840
5001,Comuna,Santa Cruz, 35-39,8027,3637,4390
5001,Comuna,Santa Cruz, 40-44,6736,3012,3724
5001,Comuna,Santa Cruz, 45-49,6704,2973,3731
5001,Comuna,Santa Cruz, 50-54,7871,3486,4385
5001,Comuna,Santa Cruz, 55-59,6964,2991,3973
5001,Comuna,Santa Cruz, 60-64,4812,2010,2802
5001,Comuna,Santa Cruz, 65-69,3521,1457,2064
5001,Comuna,Santa Cruz, 70-74,2417,961,1456
5001,Comuna,Santa Cruz, 75-79,1461,545,916
5001,Comuna,Santa Cruz, 80 Y MÁS,1821,603,1218
5001,Comuna,Manrique, Total,161735,77690,84045
5001,Comuna,Manrique, 0-4,11341,5805,5536
5001,Comuna,Manrique, 5-9,11266,5741,5525
5001,Comuna,Manrique, 10-14,11296,5801,5495
5001,Comuna,Manrique, 15-19,11668,6038,5630
5001,Comuna,Manrique, 20-24,12080,6150,5930
5001,Comuna,Manrique, 25-29,13407,6855,6552
5001,Comuna,Manrique, 30-34,13087,6578,6509
5001,Comuna,Manrique, 35-39,10745,5145,5600
5001,Comuna,Manrique, 40-44,9465,4402,5063
5001,Comuna,Manrique, 45-49,10584,4890,5694
5001,Comuna,Manrique, 50-54,12523,5713,6810
5001,Comuna,Manrique, 55-59,11543,5107,6436
5001,Comuna,Manrique, 60-64,8632,3738,4894
5001,Comuna,Manrique, 65-69,5636,2427,3209
5001,Comuna,Manrique, 70-74,3808,1580,2228
5001,Comuna,Manrique, 75-79,2267,883,1384
5001,Comuna,Manrique, 80 Y MÁS,2387,837,1550
5001,Comuna,Aranjuez, Total,163213,77968,85245
5001,Comuna,Aranjuez, 0-4,9904,5073,4831
5001,Comuna,Aranjuez, 5-9,10134,5177,4957
5001,Comuna,Aranjuez, 10-14,10330,5330,5000
5001,Comuna,Aranjuez, 15-19,10896,5696,5200
5001,Comuna,Aranjuez, 20-24,11551,5967,5584
5001,Comuna,Aranjuez, 25-29,13388,6925,6463
5001,Comuna,Aranjuez, 30-34,13991,7088,6903
5001,Comuna,Aranjuez, 35-39,12004,5792,6212
5001,Comuna,Aranjuez, 40-44,10017,4660,5357
5001,Comuna,Aranjuez, 45-49,10794,4930,5864
5001,Comuna,Aranjuez, 50-54,12500,5622,6878
5001,Comuna,Aranjuez, 55-59,11784,5109,6675
5001,Comuna,Aranjuez, 60-64,9424,4027,5397
5001,Comuna,Aranjuez, 65-69,6612,2807,3805
5001,Comuna,Aranjuez, 70-74,4378,1790,2588
5001,Comuna,Aranjuez, 75-79,2578,984,1594
5001,Comuna,Aranjuez, 80 Y MÁS,2928,991,1937
5001,Comuna,Castilla, Total,151361,71676,79685
5001,Comuna,Castilla, 0-4,7730,3958,3772
5001,Comuna,Castilla, 5-9,7911,4033,3878
5001,Comuna,Castilla, 10-14,8154,4189,3965
5001,Comuna,Castilla, 15-19,8684,4485,4199
5001,Comuna,Castilla, 20-24,9943,5038,4905
5001,Comuna,Castilla, 25-29,12262,6243,6019
5001,Comuna,Castilla, 30-34,11943,5983,5960
5001,Comuna,Castilla, 35-39,10335,4920,5415
5001,Comuna,Castilla, 40-44,9198,4257,4941
5001,Comuna,Castilla, 45-49,11181,5067,6114
5001,Comuna,Castilla, 50-54,14506,6559,7947
5001,Comuna,Castilla, 55-59,12972,5807,7165
5001,Comuna,Castilla, 60-64,9481,4164,5317
5001,Comuna,Castilla, 65-69,7044,3019,4025
5001,Comuna,Castilla, 70-74,4576,1892,2684
5001,Comuna,Castilla, 75-79,2693,1070,1623
5001,Comuna,Castilla, 80 Y MÁS,2748,992,1756
5001,Comuna,Doce de Octubre, Total,195308,92649,102659
5001,Comuna,Doce de Octubre, 0-4,12509,6397,6112
5001,Comuna,Doce de Octubre, 5-9,12472,6371,6101
5001,Comuna,Doce de Octubre, 10-14,12408,6353,6055
5001,Comuna,Doce de Octubre, 15-19,13008,6652,6356
5001,Comuna,Doce de Octubre, 20-24,14170,7114,7056
5001,Comuna,Doce de Octubre, 25-29,15706,7902,7804
5001,Comuna,Doce de Octubre, 30-34,15017,7362,7655
5001,Comuna,Doce de Octubre, 35-39,12863,5929,6934
5001,Comuna,Doce de Octubre, 40-44,11654,5202,6452
5001,Comuna,Doce de Octubre, 45-49,13463,6054,7409
5001,Comuna,Doce de Octubre, 50-54,16509,7510,8999
5001,Comuna,Doce de Octubre, 55-59,14668,6613,8055
5001,Comuna,Doce de Octubre, 60-64,11163,4970,6193
5001,Comuna,Doce de Octubre, 65-69,7902,3476,4426
5001,Comuna,Doce de Octubre, 70-74,5301,2238,3063
5001,Comuna,Doce de Octubre, 75-79,3180,1284,1896
5001,Comuna,Doce de Octubre, 80 Y MÁS,3315,1222,2093
5001,Comuna,Robledo, Total,175652,83331,92321
5001,Comuna,Robledo, 0-4,10805,5529,5276
5001,Comuna,Robledo, 5-9,11119,5682,5437
5001,Comuna,Robledo, 10-14,11191,5737,5454
5001,Comuna,Robledo, 15-19,11879,6110,5769
5001,Comuna,Robledo, 20-24,13414,6785,6629
5001,Comuna,Robledo, 25-29,14916,7561,7355
5001,Comuna,Robledo, 30-34,14239,7087,7152
5001,Comuna,Robledo, 35-39,12623,6004,6619
5001,Comuna,Robledo, 40-44,10543,4820,5723
5001,Comuna,Robledo, 45-49,11191,4998,6193
5001,Comuna,Robledo, 50-54,13481,6074,7407
5001,Comuna,Robledo, 55-59,12686,5608,7078
5001,Comuna,Robledo, 60-64,9969,4300,5669
5001,Comuna,Robledo, 65-69,7281,3068,4213
5001,Comuna,Robledo, 70-74,4827,1962,2865
5001,Comuna,Robledo, 75-79,2710,1035,1675
5001,Comuna,Robledo, 80 Y MÁS,2778,971,1807
5001,Comuna,Villa Hermosa, Total,139025,66950,72075
5001,Comuna,Villa Hermosa, 0-4,9895,5068,4827
5001,Comuna,Villa Hermosa, 5-9,10302,5272,5030
5001,Comuna,Villa Hermosa, 10-14,10312,5307,5005
5001,Comuna,Villa Hermosa, 15-19,11024,5715,5309
5001,Comuna,Villa Hermosa, 20-24,11776,6014,5762
5001,Comuna,Villa Hermosa, 25-29,12390,6363,6027
5001,Comuna,Villa Hermosa, 30-34,12206,6189,6017
5001,Comuna,Villa Hermosa, 35-39,10353,4983,5370
5001,Comuna,Villa Hermosa, 40-44,8208,3776,4432
5001,Comuna,Villa Hermosa, 45-49,7597,3385,4212
5001,Comuna,Villa Hermosa, 50-54,8526,3783,4743
5001,Comuna,Villa Hermosa, 55-59,7934,3478,4456
5001,Comuna,Villa Hermosa, 60-64,6232,2693,3539
5001,Comuna,Villa Hermosa, 65-69,4694,1991,2703
5001,Comuna,Villa Hermosa, 70-74,3163,1286,1877
5001,Comuna,Villa Hermosa, 75-79,1928,751,1177
5001,Comuna,Villa Hermosa, 80 Y MÁS,2485,896,1589
5001,Comuna,Buenos Aires, Total,137402,64846,72556
5001,Comuna,Buenos Aires, 0-4,6840,3499,3341
5001,Comuna,Buenos Aires, 5-9,7230,3683,3547
5001,Comuna,Buenos Aires, 10-14,7198,3696,3502
5001,Comuna,Buenos Aires, 15-19,8224,4245,3979
5001,Comuna,Buenos Aires, 20-24,9706,4925,4781
5001,Comuna,Buenos Aires, 25-29,11057,5606,5451
5001,Comuna,Buenos Aires, 30-34,11291,5584,5707
5001,Comuna,Buenos Aires, 35-39,10005,4744,5261
5001,Comuna,Buenos Aires, 40-44,8593,3966,4627
5001,Comuna,Buenos Aires, 45-49,9022,4152,4870
5001,Comuna,Buenos Aires, 50-54,11322,5188,6134
5001,Comuna,Buenos Aires, 55-59,11295,4981,6314
5001,Comuna,Buenos Aires, 60-64,9161,3989,5172
5001,Comuna,Buenos Aires, 65-69,6319,2722,3597
5001,Comuna,Buenos Aires, 70-74,4294,1775,2519
5001,Comuna,Buenos Aires, 75-79,2700,1056,1644
5001,Comuna,Buenos Aires, 80 Y MÁS,3145,1035,2110
5001,Comuna,La Candelaria, Total,85724,41821,43903
5001,Comuna,La Candelaria, 0-4,3037,1555,1482
